,monthly_beer_production,log(monthly_beer_production),year,month
1956-01-01,93.2,4.534747721691546,1956,1
1956-02-01,96.0,4.564348191467836,1956,2
1956-03-01,95.2,4.55597994179732,1956,3
1956-04-01,77.1,4.345103280569283,1956,4
1956-05-01,70.9,4.2612704335380815,1956,5
1956-06-01,64.8,4.1713056033582285,1956,6
1956-07-01,70.1,4.249922794040544,1956,7
1956-08-01,77.3,4.3476939555933765,1956,8
1956-09-01,79.5,4.375757021660286,1956,9
1956-10-01,100.6,4.611152257665639,1956,10
1956-11-01,100.7,4.612145799724517,1956,11
1956-12-01,107.1,4.673762977453703,1956,12
1957-01-01,95.9,4.563305981889393,1957,1
1957-02-01,82.8,4.416428061391214,1957,2
1957-03-01,83.3,4.422448549172797,1957,3
1957-04-01,80.0,4.382026634673881,1957,4
1957-05-01,80.4,4.387014176184921,1957,5
1957-06-01,67.5,4.212127597878484,1957,6
1957-07-01,75.7,4.3267781604434035,1957,7
1957-08-01,71.1,4.264087336809195,1957,8
1957-09-01,89.3,4.492001487882454,1957,9
1957-10-01,101.1,4.616110126026426,1957,10
1957-11-01,105.2,4.65586330030361,1957,11
1957-12-01,114.1,4.73707525686803,1957,12
1958-01-01,96.3,4.56746831880408,1958,1
1958-02-01,84.4,4.4355674016019115,1958,2
1958-03-01,91.2,4.513054897080286,1958,3
1958-04-01,81.9,4.405498990859024,1958,4
1958-05-01,80.5,4.388257184424518,1958,5
1958-06-01,70.4,4.254193263163997,1958,6
1958-07-01,74.8,4.314817884980432,1958,7
1958-08-01,75.9,4.3294166844015844,1958,8
1958-09-01,86.3,4.457829598089382,1958,9
1958-10-01,98.7,4.592084946439436,1958,10
1958-11-01,100.9,4.6141299273595635,1958,11
1958-12-01,113.8,4.73444252169223,1958,12
1959-01-01,89.8,4.497584975308154,1959,1
1959-02-01,84.4,4.4355674016019115,1959,2
1959-03-01,87.2,4.468204330914934,1959,3
1959-04-01,85.6,4.449685283147696,1959,4
1959-05-01,72.0,4.276666119016055,1959,5
1959-06-01,69.2,4.237000862623624,1959,6
1959-07-01,77.5,4.350277936359301,1959,7
1959-08-01,78.1,4.35799005684564,1959,8
1959-09-01,94.3,4.546481189639412,1959,9
1959-10-01,97.7,4.581901559048737,1959,10
1959-11-01,100.2,4.607168188650764,1959,11
1959-12-01,116.4,4.757032535297338,1959,12
1960-01-01,97.1,4.575741375297279,1960,1
1960-02-01,93.0,4.532599493153256,1960,2
1960-03-01,96.0,4.564348191467836,1960,3
1960-04-01,80.5,4.388257184424518,1960,4
1960-05-01,76.1,4.33204826486764,1960,5
1960-06-01,69.9,4.247065649239764,1960,6
1960-07-01,73.6,4.298645025734831,1960,7
1960-08-01,92.6,4.528289141652134,1960,8
1960-09-01,94.2,4.545420181582317,1960,9
1960-10-01,93.5,4.537961436294641,1960,10
1960-11-01,108.5,4.686750172980514,1960,11
1960-12-01,109.4,4.695010889987881,1960,12
1961-01-01,105.1,4.6549122778829055,1961,1
1961-02-01,92.5,4.52720864451838,1961,2
1961-03-01,97.1,4.575741375297279,1961,3
1961-04-01,81.4,4.399375273008495,1961,4
1961-05-01,79.1,4.370712874773608,1961,5
1961-06-01,72.1,4.278054044290903,1961,6
1961-07-01,78.7,4.365643155423357,1961,7
1961-08-01,87.1,4.467056883858457,1961,8
1961-09-01,91.4,4.515245478460105,1961,9
1961-10-01,109.9,4.699570861409576,1961,10
1961-11-01,116.3,4.7561730595246186,1961,11
1961-12-01,113.0,4.727387818712341,1961,12
1962-01-01,100.0,4.605170185988092,1962,1
1962-02-01,84.8,4.440295542797857,1962,2
1962-03-01,94.3,4.546481189639412,1962,3
1962-04-01,87.1,4.467056883858457,1962,4
1962-05-01,90.3,4.5031374604229395,1962,5
1962-06-01,72.4,4.282206299391671,1962,6
1962-07-01,84.9,4.441474093317302,1962,7
1962-08-01,92.7,4.529368472571809,1962,8
1962-09-01,92.2,4.523960130562548,1962,9
1962-10-01,114.9,4.74406218485471,1962,10
1962-11-01,112.5,4.722953221644475,1962,11
1962-12-01,118.3,4.773223770984341,1962,12
1963-01-01,106.0,4.663439094112067,1963,1
1963-02-01,91.2,4.513054897080286,1963,2
1963-03-01,96.6,4.570578741218473,1963,3
1963-04-01,96.3,4.56746831880408,1963,4
1963-05-01,88.2,4.4796069630127455,1963,5
1963-06-01,70.2,4.251348311031766,1963,6
1963-07-01,86.5,4.460144413937834,1963,7
1963-08-01,88.2,4.4796069630127455,1963,8
1963-09-01,102.8,4.632785353021065,1963,9
1963-10-01,119.1,4.779963476361254,1963,10
1963-11-01,119.2,4.7808027546312495,1963,11
1963-12-01,125.1,4.829113417472866,1963,12
1964-01-01,106.1,4.664382045619937,1964,1
1964-02-01,102.1,4.625952725170619,1964,2
1964-03-01,105.2,4.65586330030361,1964,3
1964-04-01,101.0,4.61512051684126,1964,4
1964-05-01,84.3,4.4343818650078095,1964,5
1964-06-01,87.5,4.471638793363569,1964,6
1964-07-01,92.7,4.529368472571809,1964,7
1964-08-01,94.4,4.547541073151455,1964,8
1964-09-01,113.0,4.727387818712341,1964,9
1964-10-01,113.9,4.735320870453137,1964,10
1964-11-01,122.9,4.811371016571989,1964,11
1964-12-01,132.7,4.888090941338162,1964,12
1965-01-01,106.9,4.671893818030999,1965,1
1965-02-01,96.6,4.570578741218473,1965,2
1965-03-01,127.3,4.846546505563361,1965,3
